entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
33_47	217.024	221.0819	212.9661	110.1265	104.4934	115.7596	78.7731	67.46576	90.08044	125.2728	117.9398	132.6058	11.1829	10.8469	11.5189
33_5	182.2818	204.1131	160.4505	86.0695	98.2655	73.8735	74.7783	61.1797	88.3769	57.2159	79.4162	35.0156	7.251	8.8575	5.6445
33_7	182.2579	184.0175	180.4983	89.0507	98.1903	79.9111	75.5172	66.4409	84.5935	36.1588	47.4406	24.877	5.8259	6.8876	4.7642
34_10	186.2096	185.8242	186.595	96.5477	96.1784	96.917	75.2527	64.3782	86.1272	52.7168	70.757	34.6766	6.9994	8.3341	5.6647
34_18	164.1773	168.6949	159.6597	95.969	100.8636	91.0744	75.7266	63.6334	87.8198	57.8626	60.78	54.9452	7.5415	7.80269	7.28031
34_22	137.6692	138.6627	136.6757	74.3151	72.2478	76.3824	74.4239	61.3057	87.5421	41.0486	50.9464	31.1508	6.2583	7.0847	5.4319
34_23	152.4677	150.8565	154.0789	88.4849	86.927	90.0428	77.0808	67.606	86.5556	25.3543	18.2806	32.428	4.9254	4.2355	5.6153
34_26	173.8548	170.405	177.3046	87.9126	83.6379	92.1873	81.119	71.7562	90.4818	65.1451	74.159	56.1312	8.0126	8.615	7.4102
34_31	118.1289	120.5014	115.7564	56.3339	57.323	55.3448	74.3845	63.7019	85.0671	19.667	30.6106	8.7234	3.9226	5.4401	2.4051
34_33	167.4595	171.8239	163.0951	88.8433	91.3606	86.326	76.7482	66.1966	87.2998	58.3758	55.0903	61.6613	7.609	7.3889	7.8291
34_36	199.2579	201.0175	197.4983	91.0759	95.2913	86.8605	76.5585	63.5337	89.5833	51.3703	44.5047	58.2359	7.1047	6.6633	7.5461
34_39	138.5321	146.1141	130.9501	80.7551	87.0081	74.5021	71.6974	58.7735	84.6213	34.3749	38.3985	30.3513	5.7421	6.0647	5.4195
34_4	182.8708	186.4691	179.2725	103.818	111.2596	96.3764	76.2048	66.8373	85.5723	66.9907	73.9162	60.0652	8.1566	8.621	7.6922
34_52	142.7095	151.8236	133.5954	64.8245	64.2854	65.3636	76.5368	65.0548	88.0188	55.3329	61.0373	49.6285	7.3438	7.8092	6.8784
34_54	208.8385	217.3398	200.3372	102.6482	109.5804	95.716	73.7643	61.6647	85.8639	46.8261	66.9699	26.6823	6.4242	8.0398	4.8086
